country,region,wealth_b
French Guiana,Latin America,9
San Marino,Europe,9
Chad,Africa,8
Liechtenstein,Europe,8
Congo Rep.,Africa,7
Maldives,Asia-Pacific,7
Monaco,Europe,7
Mauritania,Africa,6
Swaziland,Africa,6
Aruba,Latin America,5
Guyana,Latin America,5
Haiti,Latin America,5
Liberia,Africa,5
St. Lucia,Latin America,5
Togo,Africa,5
Bhutan,Asia-Pacific,4
Palau,Asia-Pacific,4
Samoa,Asia-Pacific,4
Seychelles,Africa,4
Solomon Islands,Asia-Pacific,4
Virgin Islands (U.S.),Latin America,4
Burundi,Africa,3
Grenada,Latin America,3
Sierra Leone,Africa,3
Timor-Leste,Asia-Pacific,3
Tonga,Asia-Pacific,3
Antigua and Barbuda,Latin America,2
Belize,Latin America,2
Cayman Islands,Latin America,2
Comoros,Africa,2
Djibouti,Africa,2
Dominica,Latin America,2
Gambia,Africa,2
Guinea-Bissau,Africa,2
Lesotho,Africa,2
Suriname,Latin America,2
Vanuatu,Asia-Pacific,2
American Samoa,Asia-Pacific,1
Kiribati,Asia-Pacific,1
Marshall Islands,Asia-Pacific,1
Mayotte,Africa,0
Micronesia,Asia-Pacific,0
Sao Tome and Principe,Africa,0
Venezuela,Latin America,
