Percentile,Ranged Taxable Income,Sex,Number of individuals 
70,"$81,754 to $83,186",Female,45848
70,"$81,754 to $83,186",Male,64765
71,"$83,187 to $84,661",Female,45360
71,"$83,187 to $84,661",Male,65268
72,"$84,662 to $86,156",Female,44927
72,"$84,662 to $86,156",Male,65659
73,"$86,157 to $87,657",Female,45058
73,"$86,157 to $87,657",Male,65556
74,"$87,658 to $89,172",Female,44801
74,"$87,658 to $89,172",Male,65853
75,"$89,173 to $90,504",Female,45705
75,"$89,173 to $90,504",Male,64866
76,"$90,505 to $92,226",Female,43871
76,"$90,505 to $92,226",Male,66720
77,"$92,227 to $94,053",Female,43509
77,"$92,227 to $94,053",Male,67123
78,"$94,054 to $95,968",Female,43005
78,"$94,054 to $95,968",Male,67625
79,"$95,969 to $97,972",Female,42445
79,"$95,969 to $97,972",Male,68181
80,"$97,973 to $100,037",Female,42350
80,"$97,973 to $100,037",Male,68257
81,"$100,038 to $102,273",Female,41604
81,"$100,038 to $102,273",Male,68997
82,"$102,274 to $104,685",Female,40369
82,"$102,274 to $104,685",Male,70234
83,"$104,686 to $107,277",Female,39034
83,"$104,686 to $107,277",Male,71576
84,"$107,278 to $110,068",Female,37807
84,"$107,278 to $110,068",Male,72816
85,"$110,069 to $113,092",Female,37207
85,"$110,069 to $113,092",Male,73387
86,"$113,093 to $116,379",Female,35964
86,"$113,093 to $116,379",Male,74666
87,"$116,380 to $120,020",Female,34604
87,"$116,380 to $120,020",Male,76009
88,"$120,021 to $124,126",Female,33124
88,"$120,021 to $124,126",Male,77494
89,"$124,127 to $128,737",Female,32155
89,"$124,127 to $128,737",Male,78449
90,"$128,738 to $133,918",Female,31060
90,"$128,738 to $133,918",Male,79549
91,"$133,919 to $139,814",Female,30601
91,"$133,919 to $139,814",Male,80020
92,"$139,815 to $146,650",Female,29749
92,"$139,815 to $146,650",Male,80854
93,"$146,651 to $154,673",Female,29272
93,"$146,651 to $154,673",Male,81345
94,"$154,674 to $164,546",Female,28805
94,"$154,674 to $164,546",Male,81806
95,"$164,547 to $176,374",Female,30340
95,"$164,547 to $176,374",Male,80274
96,"$176,375 to $188,666",Female,35420
96,"$176,375 to $188,666",Male,75191
97,"$188,667 to $211,364",Female,30325
97,"$188,667 to $211,364",Male,80289
98,"$211,365 to $250,518",Female,30432
98,"$211,365 to $250,518",Male,80181
99,"$250,519 to $350,133",Female,29948
99,"$250,519 to $350,133",Male,80666
100,"$350,134 or more",Female,28355
100,"$350,134 or more",Male,82258
