SEASON,YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUMBER OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
1998-99,1999,18,35,84,,50,,11,180,59546,237,0.00302287,0.0155531
1998-99,1999,19,102,86,,88,,16,292,55872,227,0.00522623,0.0080802
1998-99,1999,20,100,100,,68,,15,283,53444,222,0.00529526,0.0133997
1998-99,1999,21,0,0,0,0,,0,0,0,0,0,0
1998-99,1999,22,0,0,0,0,,0,0,0,0,0,0
1998-99,1999,23,0,0,0,0,,0,0,0,0,0,0
1998-99,1999,24,0,0,0,0,,0,0,0,0,0,0
1998-99,1999,25,0,0,0,0,,0,0,0,0,0,0
1998-99,1999,26,0,0,0,0,,0,0,0,0,0,0
1998-99,1999,27,0,0,0,0,,0,0,0,0,0,0
1998-99,1999,28,0,0,0,0,,0,0,0,0,0,0
1998-99,1999,29,0,0,0,0,,0,0,0,0,0,0
1998-99,1999,30,0,0,0,0,,0,0,0,0,0,0
1998-99,1999,31,0,0,0,0,,0,0,0,0,0,0
1998-99,1999,32,0,0,0,0,,0,0,0,0,0,0
1998-99,1999,33,0,0,0,0,,0,0,0,0,0,0
1998-99,1999,34,0,0,0,0,,0,0,0,0,0,0
1998-99,1999,35,0,0,0,0,,0,0,0,0,0,0
1998-99,1999,36,0,0,0,0,,0,0,0,0,0,0
1998-99,1999,37,0,0,0,0,,0,0,0,0,0,0
1998-99,1999,38,0,0,0,0,,0,0,0,0,0,0
1998-99,1999,39,0,0,0,0,,0,0,0,0,0,0
1999-00,1999,40,264,273,,228,,26,791,80941,316,0.00977255,0.00831219
1999-00,1999,41,292,351,,297,,57,997,93434,361,0.0106706,0.0140445
1999-00,1999,42,346,371,,293,,57,1067,113187,386,0.00942688,0.0131721
1999-00,1999,43,371,367,,289,,62,1089,107163,355,0.0101621,0.0138161
1999-00,1999,44,438,607,,434,,91,1570,131448,449,0.0119439,0.0141607
1999-00,1999,45,473,535,,461,,101,1570,126461,456,0.0124149,0.0148438
1999-00,1999,46,443,622,,544,,92,1701,132304,459,0.0128568,0.0152614
1999-00,1999,47,483,504,,714,,132,1833,108377,455,0.0169132,0.0185336
1999-00,1999,48,518,835,,994,,137,2484,142980,469,0.0173731,0.0232907
1999-00,1999,49,643,1124,,1316,,181,3264,139657,480,0.0233715,0.0270254
1999-00,1999,50,828,1405,,1676,,299,4208,143607,475,0.0293022,0.0350454
1999-00,1999,51,1130,1399,,2189,,450,5168,116927,472,0.0441985,0.0540799
1999-00,1999,52,1339,1697,,3146,,664,6846,121233,471,0.0564698,0.0704228
1999-00,2000,1,1314,2043,,3250,,665,7272,141197,482,0.0515025,0.0676846
1999-00,2000,2,1011,1746,,2251,,462,5470,140143,467,0.0390316,0.0552808
1999-00,2000,3,851,1334,,1357,,315,3857,132462,450,0.0291178,0.0380508
1999-00,2000,4,722,1048,,962,,169,2901,134511,433,0.021567,0.0341177
1999-00,2000,5,633,914,,786,,145,2478,136683,441,0.0181295,0.024
1999-00,2000,6,599,862,,646,,116,2223,137511,437,0.016166,0.018912
1999-00,2000,7,539,610,,447,,72,1668,131648,413,0.0126702,0.0135503
1999-00,2000,8,452,481,,328,,64,1325,116119,382,0.0114107,0.0133212
1999-00,2000,9,499,477,,360,,49,1385,112138,370,0.0123509,0.0149127
1999-00,2000,10,381,394,,256,,57,1088,106737,363,0.0101933,0.0126826
1999-00,2000,11,342,342,,206,,44,934,100814,338,0.00926459,0.0105854
1999-00,2000,12,305,346,,229,,37,917,100658,326,0.00911006,0.0092201
1999-00,2000,13,282,320,,206,,29,837,101612,320,0.00823722,0.00892334
1999-00,2000,14,186,286,,171,,23,666,91806,295,0.00725443,0.00929201
1999-00,2000,15,178,196,,127,,21,522,90035,289,0.00579775,0.00655592
1999-00,2000,16,107,120,,96,,24,347,76910,280,0.00451177,0.00607002
1999-00,2000,17,112,141,,80,,14,347,79100,274,0.00438685,0.00600003
1999-00,2000,18,93,147,,77,,7,324,73550,257,0.00440517,0.00547247
1999-00,2000,19,67,85,,77,,10,239,67962,248,0.00351667,0.00476417
1999-00,2000,20,79,65,,64,,11,219,59761,233,0.0036646,0.00445917
1999-00,2000,21,0,0,0,0,,0,0,0,0,0,0
1999-00,2000,22,0,0,0,0,,0,0,0,0,0,0
1999-00,2000,23,0,0,0,0,,0,0,0,0,0,0
1999-00,2000,24,0,0,0,0,,0,0,0,0,0,0
1999-00,2000,25,0,0,0,0,,0,0,0,0,0,0
1999-00,2000,26,0,0,0,0,,0,0,0,0,0,0
1999-00,2000,27,0,0,0,0,,0,0,0,0,0,0
1999-00,2000,28,0,0,0,0,,0,0,0,0,0,0
1999-00,2000,29,0,0,0,0,,0,0,0,0,0,0
1999-00,2000,30,0,0,0,0,,0,0,0,0,0,0
1999-00,2000,31,0,0,0,0,,0,0,0,0,0,0
1999-00,2000,32,0,0,0,0,,0,0,0,0,0,0
1999-00,2000,33,0,0,0,0,,0,0,0,0,0,0
1999-00,2000,34,0,0,0,0,,0,0,0,0,0,0
1999-00,2000,35,0,0,0,0,,0,0,0,0,0,0
1999-00,2000,36,0,0,0,0,,0,0,0,0,0,0
1999-00,2000,37,0,0,0,0,,0,0,0,0,0,0
1999-00,2000,38,0,0,0,0,,0,0,0,0,0,0
1999-00,2000,39,0,0,0,0,,0,0,0,0,0,0
2000-01,2000,40,206,443,,322,,70,1041,84727,337,0.0122865,0.0104113
2000-01,2000,41,270,489,,389,,86,1234,116917,451,0.0105545,0.012871
2000-01,2000,42,390,617,,458,,96,1561,134587,487,0.0115984,0.0128299
2000-01,2000,43,411,683,,564,,123,1781,145165,507,0.0122688,0.0134081
2000-01,2000,44,465,703,,564,,138,1870,150676,526,0.0124107,0.010555
2000-01,2000,45,564,849,,635,,181,2229,155700,545,0.014316,0.0114136
2000-01,2000,46,572,979,,736,,162,2449,163893,571,0.0149427,0.0144111
2000-01,2000,47,704,913,,646,,154,2417,131168,569,0.0184268,0.0195735
2000-01,2000,48,673,1085,,900,,196,2854,178641,581,0.0159762,0.0161928
2000-01,2000,49,710,1232,,916,,239,3097,178529,595,0.0173473,0.017844
2000-01,2000,50,677,1455,,1077,,185,3394,165935,600,0.0204538,0.0234423
2000-01,2000,51,767,1337,,1052,,205,3361,139431,585,0.0241051,0.0269528
2000-01,2000,52,1059,1335,,1496,,262,4152,122719,587,0.0338334,0.038618
2000-01,2001,1,1049,1571,,1855,,321,4796,148538,591,0.032288,0.03505
2000-01,2001,2,1081,2423,,1722,,318,5544,177720,611,0.0311951,0.0343804
2000-01,2001,3,1395,3223,,1806,,293,6717,176566,617,0.0380424,0.043928
2000-01,2001,4,1542,4057,,1991,,318,7908,188879,626,0.0418681,0.0421339
2000-01,2001,5,1329,3705,,1958,,295,7287,182792,578,0.039865,0.0435364
2000-01,2001,6,1370,3017,,1731,,358,6476,179586,566,0.0360607,0.0369969
2000-01,2001,7,1059,2126,,1393,,254,4832,171948,566,0.0281015,0.0281921
2000-01,2001,8,834,1566,,1278,,245,3923,162402,540,0.0241561,0.0255294
2000-01,2001,9,683,1008,,752,,163,2606,150399,511,0.0173272,0.0190167
2000-01,2001,10,622,934,,854,,152,2562,155916,510,0.0164319,0.0168033
2000-01,2001,11,524,762,,522,,135,1943,143075,472,0.0135803,0.016254
2000-01,2001,12,485,751,,507,,136,1879,135154,460,0.0139027,0.0145957
2000-01,2001,13,465,575,,419,,131,1590,129934,442,0.012237,0.0132376
2000-01,2001,14,288,421,,421,,126,1256,112235,371,0.0111908,0.00920073
2000-01,2001,15,219,344,,305,,82,950,101175,349,0.00938967,0.00779257
2000-01,2001,16,234,331,,344,,88,997,105580,342,0.00944308,0.00991303
2000-01,2001,17,198,274,,253,,46,771,103824,334,0.00742603,0.0082693
2000-01,2001,18,173,265,,225,,71,734,99802,322,0.00735456,0.00588952
2000-01,2001,19,165,250,,196,,60,671,92532,293,0.00725155,0.00605586
2000-01,2001,20,94,179,,159,,38,470,70113,262,0.00670346,0.0049434
2000-01,2001,21,0,0,0,0,,0,0,0,0,0,0
2000-01,2001,22,0,0,0,0,,0,0,0,0,0,0
2000-01,2001,23,0,0,0,0,,0,0,0,0,0,0
2000-01,2001,24,0,0,0,0,,0,0,0,0,0,0
2000-01,2001,25,0,0,0,0,,0,0,0,0,0,0
2000-01,2001,26,0,0,0,0,,0,0,0,0,0,0
2000-01,2001,27,0,0,0,0,,0,0,0,0,0,0
2000-01,2001,28,0,0,0,0,,0,0,0,0,0,0
2000-01,2001,29,0,0,0,0,,0,0,0,0,0,0
2000-01,2001,30,0,0,0,0,,0,0,0,0,0,0
2000-01,2001,31,0,0,0,0,,0,0,0,0,0,0
2000-01,2001,32,0,0,0,0,,0,0,0,0,0,0
2000-01,2001,33,0,0,0,0,,0,0,0,0,0,0
2000-01,2001,34,0,0,0,0,,0,0,0,0,0,0
2000-01,2001,35,0,0,0,0,,0,0,0,0,0,0
2000-01,2001,36,0,0,0,0,,0,0,0,0,0,0
2000-01,2001,37,0,0,0,0,,0,0,0,0,0,0
2000-01,2001,38,0,0,0,0,,0,0,0,0,0,0
2000-01,2001,39,0,0,0,0,,0,0,0,0,0,0
2001-02,2001,40,429,485,,372,,82,1368,137156,607,0.00997404,0.0141046
2001-02,2001,41,479,628,,526,,114,1747,159264,646,0.0109692,0.0177019
2001-02,2001,42,562,697,,560,,113,1932,165425,690,0.011679,0.0161904
2001-02,2001,43,567,876,,643,,118,2204,174566,710,0.0126256,0.0177065
2001-02,2001,44,655,883,,665,,168,2371,182365,746,0.0130014,0.0193891
2001-02,2001,45,626,865,,687,,149,2327,190992,758,0.0121838,0.0163439
2001-02,2001,46,693,862,,811,,142,2508,187174,770,0.0133993,0.0190363
2001-02,2001,47,602,643,,698,,147,2090,141523,764,0.0147679,0.0180556
2001-02,2001,48,638,866,,877,,185,2566,181932,728,0.0141042,0.0175506
2001-02,2001,49,602,848,,676,,149,2275,180095,762,0.0126322,0.0153023
2001-02,2001,50,666,780,,570,,153,2169,170971,756,0.0126864,0.0146161
2001-02,2001,51,707,725,,684,,162,2278,148450,696,0.0153452,0.0196048
2001-02,2001,52,719,656,,718,,172,2265,106451,691,0.0212774,0.0220435
2001-02,2002,1,785,752,,808,,223,2568,132274,728,0.0194142,0.021348
2001-02,2002,2,837,969,,869,,200,2875,171747,742,0.0167397,0.0189441
2001-02,2002,3,1067,1533,,948,,195,3743,180969,749,0.0206831,0.0283109
2001-02,2002,4,1460,2004,,1156,,177,4797,166968,728,0.0287301,0.0330481
2001-02,2002,5,1556,2351,,1415,,235,5557,188431,729,0.0294909,0.0361063
2001-02,2002,6,1542,2330,,1478,,274,5624,192039,728,0.0292857,0.0342799
2001-02,2002,7,1557,2436,,1573,,358,5924,187242,712,0.0316382,0.0376715
2001-02,2002,8,1509,2359,,1544,,348,5760,184544,708,0.0312121,0.0360018
2001-02,2002,9,1208,1997,,1529,,370,5104,186608,707,0.0273515,0.0320024
2001-02,2002,10,848,1558,,1007,,218,3631,168647,674,0.0215302,0.0292633
2001-02,2002,11,731,1252,,832,,162,2977,154942,652,0.0192136,0.0285857
2001-02,2002,12,567,1092,,607,,151,2417,148527,617,0.0162731,0.0234745
2001-02,2002,13,547,913,,488,,131,2079,142223,582,0.0146179,0.0223498
2001-02,2002,14,397,692,,449,,117,1655,138645,575,0.011937,0.0199355
2001-02,2002,15,327,467,,292,,83,1169,130554,551,0.00895415,0.0137168
2001-02,2002,16,247,442,,262,,67,1018,124465,523,0.00817901,0.0127033
2001-02,2002,17,235,389,,155,,51,830,117581,504,0.00705896,0.00999331
2001-02,2002,18,209,269,,147,,47,672,109945,475,0.00611215,0.01172
2001-02,2002,19,169,302,,156,,46,673,106720,458,0.00630622,0.0103472
2001-02,2002,20,159,236,,142,,39,576,100422,449,0.00573579,0.00703599
2001-02,2002,21,0,0,0,0,,0,0,0,0,0,0
2001-02,2002,22,0,0,0,0,,0,0,0,0,0,0
2001-02,2002,23,0,0,0,0,,0,0,0,0,0,0
2001-02,2002,24,0,0,0,0,,0,0,0,0,0,0
2001-02,2002,25,0,0,0,0,,0,0,0,0,0,0
2001-02,2002,26,0,0,0,0,,0,0,0,0,0,0
2001-02,2002,27,0,0,0,0,,0,0,0,0,0,0
2001-02,2002,28,0,0,0,0,,0,0,0,0,0,0
2001-02,2002,29,0,0,0,0,,0,0,0,0,0,0
2001-02,2002,30,0,0,0,0,,0,0,0,0,0,0
2001-02,2002,31,0,0,0,0,,0,0,0,0,0,0
2001-02,2002,32,0,0,0,0,,0,0,0,0,0,0
2001-02,2002,33,0,0,0,0,,0,0,0,0,0,0
2001-02,2002,34,0,0,0,0,,0,0,0,0,0,0
2001-02,2002,35,0,0,0,0,,0,0,0,0,0,0
2001-02,2002,36,0,0,0,0,,0,0,0,0,0,0
2001-02,2002,37,0,0,0,0,,0,0,0,0,0,0
2001-02,2002,38,0,0,0,0,,0,0,0,0,0,0
2001-02,2002,39,0,0,0,0,,0,0,0,0,0,0
2002-03,2002,40,582,805,,524,,149,2060,176569,754,0.0116668,0.0122262
2002-03,2002,41,683,872,,585,,127,2267,186355,785,0.012165,0.0133344
2002-03,2002,42,642,878,,543,,113,2176,192469,831,0.0113057,0.0131929
2002-03,2002,43,728,1045,,672,,154,2599,207512,863,0.0125246,0.0149484
2002-03,2002,44,823,1189,,741,,154,2907,223208,909,0.0130237,0.0147195
2002-03,2002,45,887,1272,,886,,180,3225,229454,930,0.0140551,0.0158094
2002-03,2002,46,851,1173,,898,,175,3097,223712,923,0.0138437,0.0149426
2002-03,2002,47,802,1166,,817,,182,2967,223818,922,0.0132563,0.0140569
2002-03,2002,48,834,978,,711,,186,2709,188814,918,0.0143475,0.016141
2002-03,2002,49,857,1117,,869,,206,3049,243078,937,0.0125433,0.0145967
2002-03,2002,50,804,1179,,792,,182,2957,235136,928,0.0125757,0.0159896
2002-03,2002,51,951,1404,,849,,212,3416,216179,908,0.0158017,0.0216697
2002-03,2002,52,915,937,,828,,177,2857,144287,865,0.0198008,0.0257842
2002-03,2003,1,1028,1019,,962,,251,3260,171193,879,0.0190428,0.0238636
2002-03,2003,2,1068,1296,,1091,,274,3729,234513,926,0.015901,0.0173621
2002-03,2003,3,1154,1798,,1011,,241,4204,231550,902,0.0181559,0.0206296
2002-03,2003,4,1373,2998,,1104,,221,5696,235566,927,0.0241801,0.0258113
2002-03,2003,5,1411,4064,,1322,,282,7079,246969,884,0.0286635,0.0293909
2002-03,2003,6,1606,4447,,1421,,308,7782,245751,889,0.0316662,0.0322539
2002-03,2003,7,1568,4224,,1566,,291,7649,253656,903,0.030155,0.0306982
2002-03,2003,8,1694,3689,,1537,,308,7228,241110,871,0.029978,0.0320044
2002-03,2003,9,1336,2583,,1400,,287,5606,241683,857,0.0231957,0.0244888
2002-03,2003,10,1015,2103,,1085,,247,4450,228549,839,0.0194707,0.021344
2002-03,2003,11,880,1669,,987,,274,3810,220250,835,0.0172985,0.0199866
2002-03,2003,12,737,1321,,773,,156,2987,196724,795,0.0151837,0.0193849
2002-03,2003,13,624,1016,,640,,159,2439,198913,775,0.0122616,0.0141293
2002-03,2003,14,506,846,,541,,135,2028,192349,741,0.0105433,0.0123472
2002-03,2003,15,569,799,,551,,163,2082,194383,735,0.0107108,0.0120005
2002-03,2003,16,440,539,,382,,106,1467,177577,669,0.0082612,0.00910135
2002-03,2003,17,429,508,,394,,114,1445,176111,682,0.00820505,0.00932265
2002-03,2003,18,275,444,,272,,84,1075,170406,655,0.00630846,0.00692175
2002-03,2003,19,215,471,,245,,74,1005,157191,613,0.0063935,0.00669406
2002-03,2003,20,248,283,,235,,70,836,142514,547,0.00586609,0.00727705
2002-03,2003,21,264,262,,169,,45,740,95728,406,0.00773024,0.00717701
2002-03,2003,22,213,205,,179,,44,641,81063,393,0.00790743,0.00789394
2002-03,2003,23,201,195,,133,,34,563,79090,344,0.00711847,0.00722129
2002-03,2003,24,198,187,,180,,55,620,78023,341,0.00794637,0.00591326
2002-03,2003,25,139,123,,127,,34,423,72110,322,0.00586604,0.0052307
2002-03,2003,26,122,124,,163,,32,441,71593,322,0.00615982,0.00450236
2002-03,2003,27,109,91,,94,,24,318,64699,310,0.00491507,0.00397421
2002-03,2003,28,137,141,,120,,43,441,72972,308,0.00604341,0.00448002
2002-03,2003,29,98,98,,116,,53,365,69593,301,0.00524478,0.00474767
2002-03,2003,30,112,139,,121,,48,420,71103,302,0.00590692,0.00453251
2002-03,2003,31,100,120,,102,,39,361,71466,290,0.00505135,0.00352158
2002-03,2003,32,136,125,,136,,46,443,69844,295,0.00634271,0.00525322
2002-03,2003,33,120,131,,133,,37,421,69003,283,0.00610118,0.00492991
2002-03,2003,34,159,144,,120,,27,450,70178,277,0.00641227,0.00542728
2002-03,2003,35,166,155,,112,,30,463,70000,276,0.00661429,0.00490347
2002-03,2003,36,177,182,,124,,36,519,65474,271,0.00792681,0.00735914
2002-03,2003,37,145,184,,122,,24,475,74328,267,0.00639059,0.00581771
2002-03,2003,38,136,183,,116,,26,461,72401,264,0.00636732,0.00654162
2002-03,2003,39,135,221,,143,,34,533,71273,268,0.00747829,0.00749504
2003-04,2003,40,808,881,,607,,146,2442,254144,830,0.00960873,0.00884021
2003-04,2003,41,913,1132,,696,,191,2932,281045,931,0.0104325,0.0102773
2003-04,2003,42,878,1147,,811,,195,3031,287436,974,0.010545,0.0128296
2003-04,2003,43,1006,1369,,884,,216,3475,312412,1007,0.0111231,0.0132661
2003-04,2003,44,1207,2080,,1127,,276,4690,331980,1074,0.0141274,0.0177304
2003-04,2003,45,1542,2735,,1249,,264,5790,335258,1111,0.0172703,0.0243814
2003-04,2003,46,2185,4133,,1757,,310,8385,348359,1141,0.02407,0.0272605
2003-04,2003,47,2561,5684,,2425,,471,11141,358275,1129,0.0310962,0.0373192
2003-04,2003,48,3247,4933,,2890,,672,11742,272576,1118,0.0430779,0.0454894
2003-04,2003,49,4734,7817,,5330,,1067,18948,392274,1189,0.048303,0.0539906
2003-04,2003,50,6620,11550,,5573,,1219,24962,388269,1173,0.0642905,0.0738735
2003-04,2003,51,6434,9851,,5906,,1508,23699,345097,1148,0.0686734,0.0748097
2003-04,2003,52,5336,5231,,4517,,1331,16415,232344,1122,0.0706496,0.0762797
2003-04,2003,53,3391,2894,,3827,,1220,11332,248992,1139,0.0455115,0.0514051
2003-04,2004,1,1930,2299,,2605,,768,7602,314349,1160,0.0241833,0.0289129
2003-04,2004,2,1679,1857,,1586,,461,5583,308614,1141,0.0180906,0.0210429
2003-04,2004,3,1721,1604,,1276,,360,4961,289774,1084,0.0171202,0.0188696
2003-04,2004,4,1487,1543,,1067,,339,4436,287586,1071,0.015425,0.017766
2003-04,2004,5,1454,1448,,1047,,302,4251,295646,1054,0.0143787,0.0146001
2003-04,2004,6,1420,1297,,889,,218,3824,288762,986,0.0132427,0.0137787
2003-04,2004,7,1301,1255,,876,,259,3691,282347,1004,0.0130726,0.0130532
2003-04,2004,8,956,1038,,719,,203,2916,281202,948,0.0103698,0.0108691
2003-04,2004,9,925,910,,682,,227,2744,271597,894,0.0101032,0.00991888
2003-04,2004,10,878,888,,764,,178,2708,257294,897,0.0105249,0.0102765
2003-04,2004,11,730,826,,756,,175,2487,243802,849,0.0102009,0.010579
2003-04,2004,12,760,733,,628,,179,2300,248805,859,0.00924419,0.00849361
2003-04,2004,13,610,611,,495,,142,1858,234998,828,0.00790645,0.00747127
2003-04,2004,14,583,566,,440,,116,1705,212432,774,0.0080261,0.00661708
2003-04,2004,15,545,573,,500,,131,1749,209178,755,0.0083613,0.00679514
2003-04,2004,16,501,511,,461,,142,1615,203802,679,0.00792436,0.00633071
2003-04,2004,17,470,404,,349,,108,1331,194708,658,0.00683588,0.00569894
2003-04,2004,18,435,491,,383,,85,1394,184038,629,0.00757452,0.00591357
2003-04,2004,19,449,443,,361,,74,1327,168276,599,0.00788585,0.00589044
2003-04,2004,20,451,380,,337,,94,1262,155386,553,0.00812171,0.0067864
2003-04,2004,21,375,349,,280,,66,1070,133008,463,0.00804463,0.00637558
2003-04,2004,22,391,308,,289,,73,1061,120884,452,0.00877701,0.00813309
2003-04,2004,23,355,309,,257,,66,987,133117,443,0.00741453,0.00834551
2003-04,2004,24,307,240,,258,,46,851,128740,426,0.00661022,0.00616174
2003-04,2004,25,277,284,,245,,81,887,124037,423,0.00715109,0.00513286
2003-04,2004,26,238,183,,215,,62,698,124146,408,0.00562241,0.00351881
2003-04,2004,27,233,205,,210,,62,710,90238,381,0.00786808,0.00542621
2003-04,2004,28,249,280,,227,,80,836,97135,378,0.00860658,0.00581036
2003-04,2004,29,259,200,,162,,38,659,95515,370,0.00689944,0.00495486
2003-04,2004,30,260,230,,189,,40,719,92216,363,0.00779691,0.0061209
2003-04,2004,31,213,235,,225,,60,733,116693,345,0.00628144,0.00531491
2003-04,2004,32,243,256,,247,,63,809,89644,334,0.00902459,0.00519987
2003-04,2004,33,256,256,,200,,58,770,95481,335,0.00806443,0.00574476
