"language_code","language_name","language_synonym","thesaurus_heading_language","approximate_latitude_of_language_variety","approximate_longitude_of_language_variety","uri"
"E7","Gumbaynggirr","Gumbaynggir|Kumbainggar|Gumbainggir|Baanbay|Banbai|Gamlamang|Jiegera|Kumbainggiri|Yaygir|Yuungay|Bellingen tribe|Bellinger tribe|Cambanggarie|Coombagoree|Coombangree|Coombargaree|Coombyngara|Coombyngura|Coombyugura|Cumbainggar|Guinbainggiri|Gumbainggirr|Gumbainga|Gumbainggar|Gumbanga|Gumbanggar|Gumbanggeri|Gumbanjaree|Gumbayngir|Gunbainygar|Kombaingheri|Kombinegherry|Koombabgghery|Koombainga|Koombanggary|Koombanggherry|Koombangi|Kumbaingeri|Kumbainggeri|Kumbainggir|Kumbainggirri|Kumbaingir|Kumbangerai|Nimboy|Orara|Woolgoolga|Koombangghery|Kumbanggerri|Koombanggaree|Kumbainggerri|Kumbinggeri|Kumbanggar|Kom baingheri|Coombyn gura|Gumbaigar|Gunbaigar|Gumbaingar","Gumbaynggirr language E7","-30.087643010269","152.445687609820","https://collection.aiatsis.gov.au/austlang/language/e7"
"E70","Burrgati","Dyangadi|Burgadi|Burugadi","","-30.422360631737","151.940736763380","https://collection.aiatsis.gov.au/austlang/language/e70"
"E71","Baryulgil","","","","","https://collection.aiatsis.gov.au/austlang/language/e71"
"E72","Birihn","Biriin","","-29.047958904817","152.858868087200","https://collection.aiatsis.gov.au/austlang/language/e72"
"E73","Casino language","","","-28.854030557790","152.987374384990","https://collection.aiatsis.gov.au/austlang/language/e73"
"E74","Warwick Dialect","","","","","https://collection.aiatsis.gov.au/austlang/language/e74"
"E75","Nyangbal","Njangbal","","-28.921504855909","153.421792598700","https://collection.aiatsis.gov.au/austlang/language/e75"
"E76","Mananjahli","Yugambal|Manaldjali|Manaldjahli|Mununjali|Munaljali","","-28.126543130262","152.914698497760","https://collection.aiatsis.gov.au/austlang/language/e76"
"E77","Nerang Creek","","","-28.082594324580","153.240772495070","https://collection.aiatsis.gov.au/austlang/language/e77"
"E78","Nganduwal","Gurgun Mibinyah","","-28.351553657393","153.303607034920","https://collection.aiatsis.gov.au/austlang/language/e78"
"E79","Ngarahgwal","Ngara:ngbal|Ngarangbal|Gurgun Mibinyah","","-27.886144546326","153.327906975450","https://collection.aiatsis.gov.au/austlang/language/e79"
"E8","Baanbay","Kumbainggar|Gumbainggir|Baanbay/Banbai|Banbai|Gamlamang|Jiegera|Kumbainggiri|Yaygir|Yuungay|Ahnbi|Babnbi|Baanbay Ahnbi|Dandai|Bahnbi","Baanbay language E8","-30.059012339287","152.111086828370","https://collection.aiatsis.gov.au/austlang/language/e8"
"E80","Wehlubal","Baryulgil|Wiribi","","-29.224425509969","152.551780222940","https://collection.aiatsis.gov.au/austlang/language/e80"
"E81","Jarowair","Barunggam|Djakunda|Giabal|Yarrowair|Yarow wair|Yarrow Wair","","-27.211689594786","151.677765368500","https://collection.aiatsis.gov.au/austlang/language/e81"
"E82","Wapabara","","","-23.191386570134","150.966847264620","https://collection.aiatsis.gov.au/austlang/language/e82"
"E83","Rakiwara","","","-23.069162229856","150.780685916570","https://collection.aiatsis.gov.au/austlang/language/e83"
"E84","Karunbara","","","-23.532073338976","150.100032327110","https://collection.aiatsis.gov.au/austlang/language/e84"
"E85","Gambalamam","Crowley","","-30.378446444120","152.671479205820","https://collection.aiatsis.gov.au/austlang/language/e85"
"E86","Turrbal","Turrbal|Thurawal|Turrubul|Durubulic|Jagara|Undanbi|Turrbul|Turrabul|Toorbal|Tarabul|Jagarabal|Jergarbal|Yagara|Yaggara|Yuggara|Yugg ari|Yackarabul|Turrbal|Turrubal|Terabul|Tor bul|Turibul|Yerongban|Yeronghan|Ninghi|Yerongpan|Biriin for Jagara|Undumbi|Oondumbi|Mooloola|Churrabool|Djindubari|Djuadu bari|Jooaduburrie|Bo oobera|Dippil for Undanbi","","-27.507403426369","153.051933608670","https://collection.aiatsis.gov.au/austlang/language/e86"
"E87","Dungibara","Waka Waka|Bujiebara|Dungidau|Garumga|Garumngar|Kaiabara|Dalla|Doongibarra|Doongiburra","","-27.200969949533","152.552245470960","https://collection.aiatsis.gov.au/austlang/language/e87"
"E88","Garumngar","Waka Waka|Bujiebara|Dungibara|Dungidau|Garumga|Kaiabara|Dalla|Garumu?ar|Garumnga|Garumgma","","-27.353033238067","152.695135119450","https://collection.aiatsis.gov.au/austlang/language/e88"
"E89","Wulli Wulli","Wuli Wuli|Wuliwuli|Wuli wuli|Wulili|Wilili|Wililililee|Willillee","","-25.303334466772","150.635584594810","https://collection.aiatsis.gov.au/austlang/language/e89"
"E9","Yunggaya","Gumbainggir|Yuungay|Baanbay|Banbai|Gamlamang|Jiegera|Kumbainggiri|Yaygir|Ju:ngai|Yiegera|Jeigir|Yegera|Youngai|Jungai","Yunggaya language E9","-29.463789318893","153.215773631440","https://collection.aiatsis.gov.au/austlang/language/e9"
"E90","Nalbo","Gubbi Gubbi|Dallambara|Dowarbara|Dulingbara|Kabi Kabi|Undanbi|Dalla|Ngalbu|Njalbo|Nalboo","","-26.769278232470","152.885895031450","https://collection.aiatsis.gov.au/austlang/language/e90"
"E91","Marbal","","","-29.113504787123","151.874097203640","https://collection.aiatsis.gov.au/austlang/language/e91"
"E92","Ngarabal","","","-29.485674618123","152.682885215720","https://collection.aiatsis.gov.au/austlang/language/e92"
"E93","Baddala","","","","","https://collection.aiatsis.gov.au/austlang/language/e93"
"E94","Undanbi","Gubbi Gubbi|Dallambara|Dowarbara|Dulingbara|Kabi Kabi|Nalbo|Ngundanbi|Undumbi|Oondumbi|Mooloola|Turrubul|Turrbul|Churrabool|Djindubari|Djuadu bari|Jooaduburrie|Bo oobera|Dippil","","","","https://collection.aiatsis.gov.au/austlang/language/e94"
"E95","Guringay","Gringai|Gathang","","-32.513457926197","151.699334955420","https://collection.aiatsis.gov.au/austlang/language/e95"
"E96","Wudjebal","","Wudjebal language E96","","","https://collection.aiatsis.gov.au/austlang/language/e96"
"E98","Nymboidan","","Nymboidan language E98","","","https://collection.aiatsis.gov.au/austlang/language/e98"
"E99","Yirraygirr","","Yirraygirr language E99","","","https://collection.aiatsis.gov.au/austlang/language/e99"
"G1","Wangkamanha / Wankamadla","Lhanima|Tharlimanha|Wangga Manha|Wangkamana|Julaolinja|Lanima|Rungarungawa|Wangka yutjuru|Wongkadjera|Ju:lanja|Ju:lanji|Jura|Talimana|U la linya|U la linye|U lay linye|Ulaolinja|Ulaolinya|Uluonga|Wanggamala|Wanggamanha Wangkamana|Wanggamana|Wonggaman|Wonggawan|Wongkamala|Wonkamala|Wonkamudla|Yoolanlanya|Wangkamadla|Wanggamanha","Wangkamanha / Wankamadla language G1","-24.330800671758","137.424414738560","https://collection.aiatsis.gov.au/austlang/language/g1"
"G10","Waluwarra","Warluwara|Warluwarra|Waluwara|Didjadidja|Elookera|Kapula|Maula|Maule|Mauula|Pangara|Panggara|Paringgara|Walgra|Wallawarra|Waloo kera|Walookera|Walugara|Walugera|Walukara|Wlookera|Wolga|Wollegara|Wollegarra|Yannalinka|Yunnalinka|Warluwarra Bularnu","Waluwarra language G10","-21.762186407649","138.428557367440","https://collection.aiatsis.gov.au/austlang/language/g10"
"G11","Wonganya","Wonganja","","","","https://collection.aiatsis.gov.au/austlang/language/g11"
"G12","Ayerrerenge","Bularnu|Jaroinga|Yaroinga|Jaroinga; Jurangka|Manda|Yaringa|Yarroinga|Yarrowin|Yorrawinga|Jaroinga; Jarionga|Yaro inga|Yarrowinga|Juruwinga|Yaruwinga|Ayerrerenge|Yorrowinga|Yuruwinga|Yaruwinga|Bulanja|Bulanu|Jarionga|Jurangka|Pulanja|Ayerrereng|Arandic","Ayerrerenge language G12","-21.393810830516","137.415426862570","https://collection.aiatsis.gov.au/austlang/language/g12"
"G12.1","Bularnu","Warluwarra Bularnu|Yindjilandji|Bulanu|Manda|Pulanja|Bulanja","Bularnu language G12.1","-20.656688662129","138.274745811200","https://collection.aiatsis.gov.au/austlang/language/g12.1"
"G13","Kalkatungu / Kalkadoon","Kalkutungu|Kalkutung|Kalkutungu|Calcadoon|Galgadung|Galgadunga|Galgadungu|Kalkadoona|Kalkadun|Kalkadung|Kalkadunga|Kalkaladoona|Kalkatongo|Kalkatunga|Kulkadoon|Kulkadoona|Kulkodone|Mantaba|Roongkari|Rungkari|Kalka donna","Kalkatungu / Kalkadoon language G13","-20.886512982542","139.890019932960","https://collection.aiatsis.gov.au/austlang/language/g13"
"G14","Indjilandji","Yindjilandji|Indjilandji; Inchalachee|Inchalanchee|Indjilindji|Indjurandji|Indkilindji|Injilinji|Intjilatja|Indjilinji; Inchalachee|Indilandji|Indjilinji|Gulbilangu|Inchalanchi|Indjiladji|Injeelanjee|Intyilatya|Intjilantji; Gulbilangu|Inchilachee|Inchalachee|Indjillnji|Yinjilanji","Indjilandji language G14","-19.327052066917","137.462376846020","https://collection.aiatsis.gov.au/austlang/language/g14"
"G15","Wakabunga","Workoboongo|Kabikabi|Wagabunga|Waggaboonyah|Waggabundi|Wake bunge|Wakobungo|Waukaboonia|Workabunga|Wakapunga|Worgabunga|Wurgabunga","Wakabunga language G15","-19.538891965327","139.064818923210","https://collection.aiatsis.gov.au/austlang/language/g15"
"G16","Mayi-thakurti / Mitakoodi","Maykulan|Mittakoodi|Taithakari|agurdi|Maidakadi|Maidhagari|Maidhaggaria|Maidhagudi|Maioakui|Maioakuri|Maitakeidi|Maitakudi|Maithagudi|Maithakari|Maithakudi|Majadhagudi|Mayatagoori|Mayatagoorri|Maydhagurdi|Maytagoori|Mit|Mitagurdi|Mitakudi|Mitrogoordi|Mitroogoordi|Mittagurdi|Mittaka|Mythaguddi|Mythergoody|Mythugadi|Mythuggadi|Mayadhagurdi|Mayidhagurdi|Maithakuri|Maithakui","Mayi-Thakurti / Mitakoodi language G16","-19.946870866068","140.689501508010","https://collection.aiatsis.gov.au/austlang/language/g16"
"G16.1","Wunumara","Maykulan|Wunamara|Oonoomurra|Wanamara|Quippen bura|Unamara|Woonamurra|Woonomurra|Wunamora","Wunumara language G16.1","-20.913112577322","141.853255220200","https://collection.aiatsis.gov.au/austlang/language/g16.1"
"G17","Ngawun","Ngewin|Naungaun|Nga:wun|Ngaon|Ngaun|Nounun|Nouun","Ngawun language G17","-19.802685135729","141.962863705050","https://collection.aiatsis.gov.au/austlang/language/g17"
"G18","Midjamba","Mbara|Mitjamba|Kumbulmara|Midyamba","","","","https://collection.aiatsis.gov.au/austlang/language/g18"
"G19","Nguburinji","Nguburindi|Ganggalida|Naungaun|Nga:wun|Ngoborindi|Ngoboringi|Ngoborundji|Nounun|Nouun|Obor indi|Oborindi|Oboroondi|Ngorborundji","Nguburinji language G19","-18.533637671720","139.035777367230","https://collection.aiatsis.gov.au/austlang/language/g19"
"G2","Ulaolinya","Yurla Yurlanja|Ulaolinya|Lhanima|Tharlimanha|Wangga Manha|Pitta Pitta|Lanima|Ulaolinja|Ju:lanja|Ju:lanji|Yoolanlanya|U la linya|U la linye|U lay linye|Uluonga|Jura","Ulaolinya language G2","","","https://collection.aiatsis.gov.au/austlang/language/g2"
"G20","Mayi-yapi","Maykulan|Maijabi|Maiabi|Maippe|Majabi|Mayapi|Mayappe|Miappe|Miappi|Miubbi|Miulbi|Myabi|Myappa|Myappe|Mayabi|Miuibi","Mayi-Yapi language G20","-19.075646079751","140.447220754230","https://collection.aiatsis.gov.au/austlang/language/g20"
"G21","Mbara","Ambara|Mitjamba|Balgalu|Bargal","Mbara language G21","-19.849892873405","143.395133137550","https://collection.aiatsis.gov.au/austlang/language/g21"
"G22","Balgalu","Walangama|Bugulmara|Boogoolmurra","","","","https://collection.aiatsis.gov.au/austlang/language/g22"
"G23","Waanyi","Waanji|Garawa|Wanyi|Wanyee|Wanee|Waangyee|Wonyee","Waanyi language G23 has 592 b","-18.313241639387","137.620870640300","https://collection.aiatsis.gov.au/austlang/language/g23"
"G24","Mayi-kutuna","Mayaguduna|Maikudunu|Marago|Mayi Yali|Maigudina|Maigudung|Maikudung|Mayagudunu|Maygudan|Mygoodan|Maikudun|Mikoodoono|Mygoodano|Mayagoondoon|Mika doon|Mikoolun","Mayi-Kutuna language G24","-19.120824645906","139.896250215070","https://collection.aiatsis.gov.au/austlang/language/g24"
"G25","Mayi-kulan","Maykulan|Mayi kulan|Maikulan|Maigudina|Maigudung|Maigulung|Maikolon|Maikudun|Maikudung|Maikudunu|Maikulung|Makulu|Mayagoondoon|Mayagulan|Mayhulan|Miccoolin|Micoolan|Mikadoon|Mikkoolan|Mikoodoono|Mikoolun|Mycoolon|Mygoodan|Mygoodano|Mygoolan|Mykoolan|Mykulau|Mykoo lan","Mayi-Kulan language G25","-18.780357582714","141.812415334730","https://collection.aiatsis.gov.au/austlang/language/g25"
"G26","Mingginda","Minkin|Mingin|Min Gin|Mingir|Minikin|Myngeen","Mingginda language G26","-18.022512996752","139.552731397360","https://collection.aiatsis.gov.au/austlang/language/g26"
"G27","Kalibamu","Kukatj|Kalibamu|Galimbamu|Galibamu|Golbiri|Kotanda","Kalibamu language G27","","","https://collection.aiatsis.gov.au/austlang/language/g27"
"G28","Kukatj","Gugadj|Kalibamu|Marago|Gudadj|Gudadji|Gugady|Gugatj|Kokatj|Kukatji|Gugadji|Kukatja|Kukatyi|Konggada","Kukatj language G28","-18.132101457043","140.365115450410","https://collection.aiatsis.gov.au/austlang/language/g28"
"G29","Gundara","Kok Narr|Kok Nhang|Kundar|Koknar|Gog nar|Kwantar|Kokinari|Koko Nar|Koko Nari|Kokonari|Kuk Nar|Kuku Nar|Kwanthar|Kok  Nar|Gugu Nar|Gugu Nhang|Kwantari|Gog Nar|Kundara|Kuantari|Goondarra|Wangara|Wanggara|Kokowanggara|Kokawan gar|Kokatabul|Kokodaue|Koko daua|Oikand","Gundara language G29","-16.052434788806","141.815588380850","https://collection.aiatsis.gov.au/austlang/language/g29"
"G3","Kunkalanya","Kunkalanja|Pitta Pitta|Kungkalenya|Kunkulenje|Koonkoolenya|Koomkoolenya|Koon kalinga|Koonkalinye","Kunkalanya language G3","-23.637670302004","139.287985611840","https://collection.aiatsis.gov.au/austlang/language/g3"
"G30","Ganggalidda","Kangkalita|Ganggalida|Jokula|Yakula|Jugul|Jugulda|Jogula|Jokala|Jokul|Jokal|Iukala|Yukula|Yookala|Eugoola|Jungulda|Kanggaleida|Yangarella|Engarilla","","","","https://collection.aiatsis.gov.au/austlang/language/g30"
"G31","Gkuthaarn","Kuthant|Karaldi|Gudanda|Gudhanda|Gudhand|Guandhar|Kareldi|Karundi|Karunti|Kurandi|Ka rantee|Karrandi|Karrandee|Gar und yih|Karun|Gooran|Kotanda|Kutanda|Goothanto","Gkuthaarn language G31","-17.368816565828","141.115062206320","https://collection.aiatsis.gov.au/austlang/language/g31"
"G32","Garandi","Karrandee|Karundi|Garandji|Kareldi|Karindhi|Karanti|Karunti|Kurandi|Ka rantee|Karrandi|Gar und yih|Karun|Gooran|Kotanda|Kutanda|Goothanto","Garandi language G32","","","https://collection.aiatsis.gov.au/austlang/language/g32"
"G33","Kurtjar","Gunggara|Gurdjar|Kunggara|Araba|Areba|Rib|Cudjeral|Curjur|Gilbert River tribe|Goom gharra|Gunggara|Koonkurri|Kortyera|Kuritjari|Kutjar|Ungorri|Kurrtjar","Kurtjar language G33","-16.747297706702","141.417552365670","https://collection.aiatsis.gov.au/austlang/language/g33"
"G34","Yukulta / Ganggalidda","Lardil|Yakula|Jugul|Jugulda|Jogula|Jokala|Jokul|Jokal|Iukala|Yukula|Yookala|Eugoola|Jungulda|Kanggaleida|Yangarella|Engarilla","Yukulta / Gangalidda language G34","-17.341231808393","138.751317122600","https://collection.aiatsis.gov.au/austlang/language/g34"
"G35","Kayardild","Gayardilt|Kaiadilt|Bentinck Islanders|Gaiardilt|Gaja|dilt|Gajadild|Gajardild|Gajardilt|Gaya|Gayadilt|Kaiadil|Kaiadilt Madunun|Maldanunda|Malununda|Malununde|Mardunung|Marlanunda|Gayardild|Guyadilt|Madunun","Kayardild language G35","-17.030578639892","139.489223589000","https://collection.aiatsis.gov.au/austlang/language/g35"
"G36","Walangama","Bugulmara|Karan|Wahlongman|Wallankammer|Wallenkammer|Wollangama|Wollongurmee|Wallan kammer","Walangama language G36","-17.885734161981","141.934731520780","https://collection.aiatsis.gov.au/austlang/language/g36"
"G37","Yangkaal","Gananggalinda|Balumbant|Janggal|Janggaral|Janggaralda|Janggura|Mangaralda|Nemarang|Njangga:l|Jangaralda","Yangkaal language G37","-16.904906665987","138.981143412860","https://collection.aiatsis.gov.au/austlang/language/g37"
"G38","Lardil","Lardiil|Layardilda|Damin|Demin|Gunana|Jungarl|Kare wa|Kunana|La:dil|Ladil|Laierdila|Lardi:i|Lardill|Leedil|Mornington Island tribe|Nemarang","Lardil language G38","-16.564313981370","139.458891344920","https://collection.aiatsis.gov.au/austlang/language/g38"
"G39","Ogerliga","","","","","https://collection.aiatsis.gov.au/austlang/language/g39"
"G4","Rakaya","Pitta Pitta|Rakkaia|Rukkia","Rakaya language G4","-23.424260150732","140.137218288080","https://collection.aiatsis.gov.au/austlang/language/g4"
"G40","Ngulupulu","Pitta Pitta|Karanya|Karenya|Kurrana|Mooraboola Moorloobulloo|Ngulubulu|Ooloopooloo","","-24.056369749215","139.817571892730","https://collection.aiatsis.gov.au/austlang/language/g40"
"G41","Parnkarra","Warluwara|Barngara","","-21.260277550433","138.810455459720","https://collection.aiatsis.gov.au/austlang/language/g41"
"G42","Dhidhani","Dhidhanu|Yindjilandji","","-20.477353213756","138.262116002710","https://collection.aiatsis.gov.au/austlang/language/g42"
"G43","Kapula","Warluwara|Gabula","","-22.132758180661","138.596131652650","https://collection.aiatsis.gov.au/austlang/language/g43"
"G44","Mayi-yali","Mayi Kutuna|Maikudunu|Marago|Mayali","","-18.941537932067","139.747862638050","https://collection.aiatsis.gov.au/austlang/language/g44"
"G45","Marrago","Kukatj|Marago|Mayi Kutuna|Kalibamu|Maikudunu|Mayi Yali|Ngarra","","-18.270587599748","140.166641796040","https://collection.aiatsis.gov.au/austlang/language/g45"
"G46","Bundjil","","","-20.047997212829","146.313424706850","https://collection.aiatsis.gov.au/austlang/language/g46"
"G47","Jangrala","","","-17.851445841547","138.682737028820","https://collection.aiatsis.gov.au/austlang/language/g47"
"G48","Rangwa","Runga Rungawa|Pitta Pitta|Runga Rungawah|Ringarungawah|Dun gadungara|Rungo Rungo","","","","https://collection.aiatsis.gov.au/austlang/language/g48"
"G49","Kok Narr","Kok Narr|Koknar|Gog Nar|Kok Nar|Kuku Nar|Gugu Nar|Kok-Narr|Gug-nar","Kok Narr language G49","","","https://collection.aiatsis.gov.au/austlang/language/g49"
"G5","Wangka-yutjurru","Wangka yutjuru|Wanggamanha|Wongkadjera/Wangka yutjuru|Julaolinja|Lanima|Rungarungawa|Wongkadjera|Wangkadjera|Wanggadjara|Wanggayudyuru|Wangka jutjuru|Wonkajara|Wonkatyeri|Wonkoyara","Wangka-Yutjurru language G5","-22.881736269643","138.565730077490","https://collection.aiatsis.gov.au/austlang/language/g5"
"G50","Kok Nhang","Gugu Nhang|Kon Nhang|Koko-Nhang|Kuuk-Nhang","Kok Nhang language G50","","","https://collection.aiatsis.gov.au/austlang/language/g50"
"G51","Baringkirri","","Baringkirri language G51","","","https://collection.aiatsis.gov.au/austlang/language/g51"
"G52","Indjiladji","","Indjiladji language G52","","","https://collection.aiatsis.gov.au/austlang/language/g52"
"G53","Lanima","","","","","https://collection.aiatsis.gov.au/austlang/language/g53"
"G6","Pitta Pitta","Pitha Pitha|Karanja|Kungkalenja|Pitapita|Rakkaia|Ringaringa|Bida Bida|Bidabida|Bitta Bitta|Bittha Bittha|Narrinyeri|Paruru|PittaPitta|Pittapitta|Ramindjerar|Ramindjeri|Ramingara|Raminjeri|Raminyeri|Ramong|Rormear|Tarbanawalun|Wangkahicho|Wangkahichs|Wangkapit:a|Wirramu mejo|Bidha Bidha|Bidhabidha","Pitta Pitta language G6","-22.628422569678","139.724744329950","https://collection.aiatsis.gov.au/austlang/language/g6"
"G7","Ringu Ringu","Pitta Pitta|Ringaringa|Karanja|Kungkalenja|Pitapita|Rakkaia|Njuntauntaya|Oringaroo|Ringa|Ringa Oringaroo|RingaRinga|Ringa Ringa|Ringa ringaroo|Ringoringo|Ringu ringu|Ringuringu|Runga Rungawah|Rungo Rungo|Yuntauntaya|Ringa Ringaroo","Ringu Ringu language G7","-22.879282506558","140.264772611190","https://collection.aiatsis.gov.au/austlang/language/g7"
"G8","Yalarnnga","Yalarrnga|Jalanga|Jalannga|Wonganja|Yalannga|Yelina|Yellanga|Yellunga|Yallunga|Jalarnnga","Yalarnnga language G8","-21.821844202570","139.713270817360","https://collection.aiatsis.gov.au/austlang/language/g8"
"G9","Yanda","Jangaa|Janda|Yunda","Yanda language G9","-22.084736311002","140.738817369390","https://collection.aiatsis.gov.au/austlang/language/g9"
"G9.1","Guwa","Goa|Koa|Goamulgo|Coa|Coah","Guwa language G9.1","-22.036939228068","142.319351541910","https://collection.aiatsis.gov.au/austlang/language/g9.1"
"K1","Yawuru","Yawur|Djauor|Jauor|Jawuru|Yawoorroo|Gawor|Jaoro|Jauro|Jauur|Kakudu Kakudu|Nawudu|Yaora|Yaoro|Yaoru|Yaroro|Yauera|Yauor|Yauro|Yawur|Yawuri|Yawurr","Yawuru language K1","-17.943893293162","122.625300391440","https://collection.aiatsis.gov.au/austlang/language/k1"
"K10","Warrwa","Kimberley Area Languages|Warwa|Kolaruma|Warrwai|Waruwa|Warwai|Wa:rwa","Warrwa language K10","-17.275981416455","124.013625977670","https://collection.aiatsis.gov.au/austlang/language/k10"
"K11","Walki","Walgi|Kija|Gidja|Kitja|Kuluwarrang|Lungga","Walki language K11","-17.846140555337","127.063025221560","https://collection.aiatsis.gov.au/austlang/language/k11"
"K12","Jaru","Djaru|Jaruru|Jaroo|Djaro|Jarroo|Jarrou|Jarrau|Charrau|Jaruo|Djara|Deharu|Njining|Njinin|Nyinin|Nining|Neening|Meening|Ka:biri|Karbery|Kodjangana|Ruby Creek tribe","Jaru language K12","-18.517289717412","128.227577473160","https://collection.aiatsis.gov.au/austlang/language/k12"
"K13","Nyul Nyul","Njul Njul|Kimberley Area Languages|Nyulnyul|Njulnjul|Ngulnyul|Niol Niol|Njolnjol|Nyolnyol|Nyool Nyool|NyulNyul|Nyul nyul|Yowera","Nyul Nyul language K13","-17.028028750801","122.705729283870","https://collection.aiatsis.gov.au/austlang/language/k13"
"K14","Unggumi","Worora|Ong Komi|Wongkomi|Ongaranjan|Ungumi|Ungami|Ngarangari","Unggumi language K14","-17.088781372512","124.869117676940","https://collection.aiatsis.gov.au/austlang/language/k14"
"K15","Bardi","Baardi|Baard|Baada|Ba:d|Ba:di|Baad|Bad|Bard|Barda|Board","Bardi language K15","-16.668163920215","122.902257399470","https://collection.aiatsis.gov.au/austlang/language/k15"
"K16","Jawi","Djawi|Djaui|Towahi|Tohawi|Ewenu|Ewenyoon|Chowie|Djaw|Djau|Djaoi|Tohau i|Ewanji|I:wanja","Jawi language K16","-16.442415702498","123.267577744320","https://collection.aiatsis.gov.au/austlang/language/k16"
"K17","Worrorra","Worora|Jaudibaia|Maialnga|Worara|Wororra|Worrara|Wurara|Wo`rora|Worrora|Wurora|Wurura|Variants of the language name:|Yangibaia|Kularri/Gularri south westerners","Worrorra language K17","-15.621326448715","124.875870906130","https://collection.aiatsis.gov.au/austlang/language/k17"
"K18","Ngarinyin","Ngarinyin|Ungarinjin|Guwij|Munumburru|Ngarinjin|Ngarnawu|Wilawila|Wolyamidi|Andedja|Andidja|Angarinjin|Arawari|Arkarinjindja|Arkarrinyinjia|Gular|Ingarinjindja|Kandjalngari|Marangana|Molyamidi|Narrinyina|Narrinyind|Narrinyindi|Ngaring ngyan|Ngerringun|Njingarinjanja|Ogarinyan|Oladjau|Ungarinin|Ungarinjen|Ungarinyin|Unggarinjin|Unjarinjin|Unnarinjin|Walmidi|Wangarinjinu|Warnarinjin|WolJamidi|Wulanggu|Unarinjin|Arkarin jindja|Ungarin jen","Ngarinyin language K18","-16.003849061029","126.005432866520","https://collection.aiatsis.gov.au/austlang/language/k18"
"K19","Guwij","Guwidj|Orla|Ngarinyin|Guidj","Guwij language K19","-15.289459619480","127.049662713010","https://collection.aiatsis.gov.au/austlang/language/k19"
"K2","Jugun","Jukun|Dyugun|Djugun|Djurgun|Djukan|Jukan|Djugan|Tjugun|Tjukun|Djukun|Tjugan|Tjunung|Kularrabulu|Jukannganga","","-17.786560192971","122.445045527180","https://collection.aiatsis.gov.au/austlang/language/k2"
"K20","Gija / Kija","Kitja|Lunga|Lungga|Gidja|Kuluwarrang|Walgi|Djarak|Djerag|Gidj|Gidya|Guidj|Guwidji|Gwidji|Keha|Kidja|Kiej|Kisah|Kisha|Kityu|Kutji|Kuitj|Kuitji|Kutnalawaru|Kwitj|Langgu|Longga|Loonga|Lungar|Lungu|Miwa|Paljarri|Tjarak|Walki|Waringari|WarrangariGidya|War ingari|Warrangari","Gija / Kija language K20","-17.423987204478","127.391050818280","https://collection.aiatsis.gov.au/austlang/language/k20"
"K21","Wanyjirra","Wanjdjirra|Gurinji|Wandjira|Wadshara|Manu|Manoo","Wanyjirra language K21","-18.105865666511","129.705914812330","https://collection.aiatsis.gov.au/austlang/language/k21"
"K22","Wunambal","Wunambul|Unambal|Jamindjal|Jarmindjal|Kanaria|Laiau|Peremanggurei|Unambalnge|Wanambal|Wardana|Winjai|Wonambul|Wumnabal|Wunambullu|Wunambulu|Kularri/Gularri south westerners|Wulanggu|Wunambal ngarri","Wunambal language K22","-14.879395710842","125.463763867350","https://collection.aiatsis.gov.au/austlang/language/k22"
"K23","Andedja","Andadjin|Kimberley Area Languages|Andajin|Worla|Ola|Walajangarri|Andidja|Kular|Andidja/Andidjara|Ngarinjin|Wilawila|Wandidja|Wulandidja|Andidjari|Gular|Ungarinjin|Unarinjin|Warnarinjin|Angarinjin|Wangarinjinu|Arawari|Ingarinjindja|Njingarinjanja|Arkarin jindja|Oladjau|Marangana|Walmidi|Narrinyind|Ungarinyin|Ungarin jen|Ngaring ngyan|Ngerringun|Kandjalngari for Ngarinjin|Wular:|Taib|Wulu|Taibange|Munumbara|Munumburu|Kalari:|Andadja|Piarngongo|Kundjanan|Kandjanan|Ullumbuloo for Wilawila","Andedja language K23","-17.348596455615","126.128078294350","https://collection.aiatsis.gov.au/austlang/language/k23"
"K24","Waladjangari","Waladjangarri|Worla|Walajangarri|Andajin|Ola|Ngarinjin|Waladjangari/Wuladja|Wo:la|Wola|Wula|Woladjangari|Woolaja|Walandjari|Wolmardai|Waringari|Oladjau|Ngarangari|Ngalangari|Ngaiangari|Wardia","Waladjangari language K24","","","https://collection.aiatsis.gov.au/austlang/language/k24"
"K25","Munumburu","Munumburru|Ngarinyin|Guwij|Ngarinjin|Ngarnawu|Ungarinjin|Wilawila|Wolyamidi|Wilawiila|Wular:|Taib|Wulu|Taibange|Munumbara|Kalari:|Andedja|Andidja|Andadja|Piarngongo|Kundjanan|Kandjanan|Ullumbuloo","Munumburu language K25","-15.277845865168","127.527702476310","https://collection.aiatsis.gov.au/austlang/language/k25"
"K26","Wolyamidi","Ngarinyin|Woljamidi|Woljamiri|Molyamidi|Kuluwara|Kulu waran|Guluwarin|Kolaia|Arawari|Arawodi|Yamandil","Wolyamidi language K26","-15.636884022902","127.364422520520","https://collection.aiatsis.gov.au/austlang/language/k26"
