"language_code","language_name","language_synonym","thesaurus_heading_language","approximate_latitude_of_language_variety","approximate_longitude_of_language_variety","uri"
"A19","Wardal","Wawula|Madoitja|Wirdinja|Wajari|Wardalj|Tjitijamba|Tjitjijamba|Waula","Wardal language A19","","","https://collection.aiatsis.gov.au/austlang/language/a19"
"A2","Kalarku","Kalaaku|Kalarko|Ngatjunmay|Galagu/Kalako|Malpa|Galagu|Kalako|Ngadjunmaia|Marlba|Beelia|Beeloo|Derbal|Gala:gu|Ilakuri wongi|Juadjag|Juadjek|Juadjuk|Kalaako|Karakata|Karrakatta|Malba|Minal njunga|Minalnjunga|Minnal Yungar|Mooro|Murram|Njindango|Swan River Tribe|Takalako|Wadjug|Wadjuk|Wadjup|Wajuk|Whadjuk|Whajook|Witja:ri|Witjari|Yooadda|Yooard|Yoongar|Yuard|Yuatjek|Yungar|Yungur|Galaagu|West Mirniny","Kalarku language A2","-32.110217754506","121.487575540800","https://collection.aiatsis.gov.au/austlang/language/a2"
"A20","Wilyara","Wiijara","Wilyara language A20","-26.799611608385","120.415688130650","https://collection.aiatsis.gov.au/austlang/language/a20"
"A21","Gula","Go:la","Gula language A21","-27.990460248250","122.702008342550","https://collection.aiatsis.gov.au/austlang/language/a21"
"A22","Marawa","","Marawa language A22","-28.771514280889","125.346387893540","https://collection.aiatsis.gov.au/austlang/language/a22"
"A23","Mangula","Mandjindja|Kalgonei|Kalgoneidjara|Mandjindjara|Mandjindji|Mandjindjiwongga|Mandshindshi|Man gula|Mangundjara|Manjinjiwonga|Mantjila|Nanggar angku","Mangula language A23","","","https://collection.aiatsis.gov.au/austlang/language/a23"
"A24","Gurduwanga","Kurduwonga|Kurduwongga|Wadjari|Baialdju|Cheangwa|Iirrawad ari|Irawadjari|Jamadji|Maliara|Miliara|Miliarra|Pidong|Wadarri|Wadgaree|Wadjeri|Waian wonga|Wajari|Wajeri|Wajjari|Wardal|Yajeri|Yamaidyi","Gurduwanga language A24","-25.668816450276","117.547382625120","https://collection.aiatsis.gov.au/austlang/language/a24"
"A25","Birniridjara","Pini|Nana|Badu|Bandjanu|Banjanu|Barduwonga|Bawndudjara|Bini|Biniridjara|Birni|Budidjara|Bududjara|Buranudjara|Buurdidyara|Jabura|Kaltalbudara|Kaltalbudjara|Kaltalbudjira|Madutjara|Nangaritjara|Ngondidjara|Pandjanu|Pardu|Partutu|Partutudjara|Piniiri|Piniridjara|Pirniritjara|Poroko|Potidjara|Potitjara|Puditjarra|Purditara|Putitjara|Tjubun|Tutudjara|Wordako","Birniridjara language A25","","","https://collection.aiatsis.gov.au/austlang/language/a25"
"A26","Djalgandi","Tjalkanti|Tjalkadjara|Barduwonga|Djalgadjara|Barduwanga|Talkumara|Tjalkandjara|Tjalkakari|Wordako|Tjalkani|Djalgani|Tjalgandi|Erlistoun tribe|Dituwonga","Djalgandi language A26","-27.645728155089","122.973062036140","https://collection.aiatsis.gov.au/austlang/language/a26"
"A27","Mudalga","","Mudalga language A27","-27.752210323925","123.654874139830","https://collection.aiatsis.gov.au/austlang/language/a27"
"A28","Bunggura","","Bunggura language A28","-27.286141405490","130.463371060640","https://collection.aiatsis.gov.au/austlang/language/a28"
"A29","Wawula","Madoitja|Wardal|Wirdinja|Ngaiu|Ngayuwanga|Waula|Wawlwulu|Ngaiuwonga|Wawulja|Tjitijamba|Tjitjijamba|Waula for Wardal|Marduidji|Milamada|Wainawonga|Konin|Waula for Madoitja","Wawula language A29","-25.010140467373","121.119645194610","https://collection.aiatsis.gov.au/austlang/language/a29"
"A3","Ngadjumaya / Ngadju","Ngatjumaya|Ngadjunmaya|Ngatjunmay|Galagu|Kalako|Ngadjunmaia|Ba:donjunga|Badonjunga|Bardojunga|Bardok|Buljigu|Fraser Range tribe|Malba|Marlba|Marlpa|Minninng|Ngadjumaja|Ngadjunma|Ngadjunpakara|Ngadjunpukara|Ngadyunma|Ngatju|Ngatjumay|Ngatjunmaya|Norseman|Pardoak|Tchaakalaaga|Wangka malpa|West Meening|West Mining|Ngadyumaya|Ngadjunma/Marlba|Wangka Malpa|Ngadju:","Ngadjumaya / Ngadju language A3","-32.324664323174","123.741195509480","https://collection.aiatsis.gov.au/austlang/language/a3"
"A30","Ngadawanga","Ngaiawongga|alternative for Tjupany|Madoitja|Ngadawongga|Ngadhawonga|Ngarawonga|Bidungu/Ngayawanga/Ngadawanga|Ngajawonga|Ngaiu wonga|Ngarga wonga|Maliar:a|Wallawe|Waula|Pidungu|Madutjara","Ngadawanga language A30","-26.401740132949","119.579704767610","https://collection.aiatsis.gov.au/austlang/language/a30"
"A31","Tjupan","Tjupany|Madoitja|Tjubanba","Tjupan language A31","-27.117955474616","120.566422407410","https://collection.aiatsis.gov.au/austlang/language/a31"
"A32","Nakako","Nakaku|Nangako|Nangakopitja|Wanudjara","Nakako language A32","-27.222842765728","128.510914168460","https://collection.aiatsis.gov.au/austlang/language/a32"
"A34","Mangu","Manyjilyjarra","Mangu language A34","-25.579879925586","119.775031086600","https://collection.aiatsis.gov.au/austlang/language/a34"
"A35","Konin","Gonin|Madoitja|Marduidji|Milamada|Wainawonga|Waula","","","","https://collection.aiatsis.gov.au/austlang/language/a35"
"A36","Milamada","Madoitja|Konin|Marduidji|Wainawonga|Waula","","","","https://collection.aiatsis.gov.au/austlang/language/a36"
"A37","Nanadjara","Nana|Pini|I:nabadanggural|Kalgo nei|Kalgoneidjara|Kalguni|Nangand jara|Nangaridjara|Ngan:adjara|Nganadjara|Jumudjara|Ngatari|Nona","Nanadjara language A37","-26.064065288865","123.487639391340","https://collection.aiatsis.gov.au/austlang/language/a37"
"A38","Ngaanyatjarra","Ngaanjatjarra|Nana|I:nabadanggural|Jumudjara|Kalgonei|Kalgoneidjara|Kalguni|Kuwaratjara|Nangandjara|Nangaridjara|Ngaanjadjara|Ngan:adjara|Ngana|Nganadjara|Ngatari|Nona|Warburton Ranges|Ngadadjara|Ngaanyatjara|Warburton Ranges Dialect|Jabungadja|Ku:rara|Nadadjara|Nga:da|Nga:dapitjardi|Ngad adara|Ngadatara|Ngadatjara|Ngadawongga|Ngadjatara|Ngatatara|Ngatatjara|Rumudjara|Teitudjara|Wan:udjara|Warara|Wirtjandja|Witjandja","Ngaanyatjarra language A38","-25.800432403360","127.353457513490","https://collection.aiatsis.gov.au/austlang/language/a38"
"A38.1","Widjandja","Ngadadjara|Jabungadja|Ku:rara|Nadadjara|Nga:da|Nga:dapitjardi|Ngad adara|Ngadatara|Ngadatjara|Ngadawongga|Ngadjatara|Nganadjara|Ngatatara|Ngatatjara|Rumudjara|Teitudjara|Wan:udjara|Warara|Wirtjandja|Witjandja","","","","https://collection.aiatsis.gov.au/austlang/language/a38.1"
"A39","Wajarri / Wadjarri","Watjarri|Bidungu|Irawadjari|Mulyara|Nokaan|Wadjari|Waiawonga|Baialdju|Batiga|Cheangwa|Dhauerngu|Iirrawadari|Jamadji|Kurduwonga|Kurduwongga|Maliara|Miliara|Miliarra|Pidong|Wadari|Wadarri|Wadgaree|Wadhari|Wadjeri|Wadyari|Waian|Waianwonga|Wajari|Wajeri|Wajjari|Wajjiri|Wanmala|Wardal|Watjari|Wodjeri|Yabbaroo|Yabbooroo|Yajeri|Yamadgee|Yamaidyi|Yamaji|Wadyarri|Witjari|Waian wonga|Iirrawad ari","Wajarri / Wadjarri language A39","-26.100230390262","116.993082522260","https://collection.aiatsis.gov.au/austlang/language/a39"
"A39.1","Wadiwangga","Wadiwanga","Warriyangga language W22","","","https://collection.aiatsis.gov.au/austlang/language/a39.1"
"A4","Kalaamaya","Kaprun|Karlamay|Nyunga|Galamaia|Jabururru|Jawan|Kalamaia|Kelamai|Natingero|Takalako|Watjanmay|Yabro|Galamai|Galamaya|Jaburu|Jungaa|Jungal|Kala:mai|Kaallarmaay|Kalamai|Kalamay|Kalamaya|Njindango|Youngal|Youngar|Yungar|Galamay","Kaalamaya language A4","-30.263691528344","119.012978769800","https://collection.aiatsis.gov.au/austlang/language/a4"
"A40","Birdungu","Bedengo|Pedong|Peedong|Pidunga|Peedona|Pardoo|Palatong|Bidungu|Pidong Bedongo|Bidungo|Pidungu","Birdungu language A40","","","https://collection.aiatsis.gov.au/austlang/language/a40"
